start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-03-02,2000,1994,0.5055,0.49450000000000005,72,196,1726,6,600,56,0.0297029702970297,0.137,0.13978494623655913,0.11363636363636363,0.1619718309859155
2021-01-01,2021-03-03,2000,1994,0.5055,0.49450000000000005,72,200,1722,6,800,87,0.02912621359223301,0.139,0.13978494623655913,0.11363636363636363,0.16901408450704225
2021-01-01,2021-03-04,2000,1994,0.5055,0.49450000000000005,68,207,1719,6,800,87,0.028169014084507043,0.1405,0.13978494623655913,0.11363636363636363,0.16901408450704225
2021-01-01,2021-03-05,2000,1993,0.5055,0.49450000000000005,66,212,1715,7,800,87,0.0319634703196347,0.1425,0.15053763440860216,0.11363636363636363,0.16901408450704225
2021-01-01,2021-03-06,2000,1992,0.5055,0.49450000000000005,66,215,1711,8,800,87,0.03587443946188341,0.1445,0.15053763440860216,0.11363636363636363,0.176056338028169
2021-01-01,2021-03-07,2000,1991,0.5055,0.49450000000000005,67,219,1705,9,800,87,0.039473684210526314,0.1475,0.15053763440860216,0.11363636363636363,0.18309859154929578
2021-01-01,2021-03-08,2000,1991,0.5055,0.49450000000000005,76,219,1696,9,800,87,0.039473684210526314,0.152,0.17204301075268819,0.11363636363636363,0.18309859154929578
2021-01-01,2021-03-09,2000,1991,0.5055,0.49450000000000005,75,224,1692,9,800,87,0.03862660944206009,0.154,0.17204301075268819,0.11363636363636363,0.18309859154929578
2021-01-01,2021-03-10,2000,1991,0.5055,0.49450000000000005,75,227,1689,9,800,87,0.038135593220338986,0.1555,0.17204301075268819,0.11363636363636363,0.18309859154929578
2021-01-01,2021-03-11,2000,1991,0.5055,0.49450000000000005,74,232,1685,9,800,87,0.03734439834024896,0.1575,0.17204301075268819,0.11363636363636363,0.19014084507042253
2021-01-01,2021-03-12,2000,1991,0.5055,0.49450000000000005,73,236,1682,9,800,87,0.036734693877551024,0.159,0.17204301075268819,0.11363636363636363,0.20422535211267606
2021-01-01,2021-03-13,2000,1991,0.5055,0.49450000000000005,76,240,1675,9,800,87,0.03614457831325301,0.1625,0.17204301075268819,0.13636363636363635,0.21830985915492956
2021-01-01,2021-03-14,2000,1991,0.5055,0.49450000000000005,75,245,1671,9,800,87,0.03543307086614173,0.1645,0.17204301075268819,0.13636363636363635,0.22535211267605634
2021-01-01,2021-03-15,2000,1991,0.5055,0.49450000000000005,78,247,1666,9,800,87,0.03515625,0.167,0.17204301075268819,0.13636363636363635,0.22535211267605634
2021-01-01,2021-03-16,2000,1991,0.5055,0.49450000000000005,78,253,1660,9,800,87,0.03435114503816794,0.17,0.17204301075268819,0.13636363636363635,0.2323943661971831
2021-01-01,2021-03-17,2000,1991,0.5055,0.49450000000000005,76,256,1659,9,800,87,0.033962264150943396,0.1705,0.17204301075268819,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-18,2000,1991,0.5055,0.49450000000000005,76,260,1655,9,1000,142,0.03345724907063197,0.1725,0.17204301075268819,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-19,2000,1991,0.5055,0.49450000000000005,75,264,1652,9,1000,142,0.03296703296703297,0.174,0.17204301075268819,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-20,2000,1991,0.5055,0.49450000000000005,73,268,1650,9,1000,142,0.032490974729241874,0.175,0.17204301075268819,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-21,2000,1991,0.5055,0.49450000000000005,75,271,1645,9,1000,142,0.03214285714285714,0.1775,0.1827956989247312,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-22,2000,1991,0.5055,0.49450000000000005,72,276,1643,9,1000,142,0.031578947368421054,0.1785,0.1827956989247312,0.13636363636363635,0.23943661971830985
2021-01-01,2021-03-23,2000,1991,0.5055,0.49450000000000005,69,281,1641,9,1000,142,0.03103448275862069,0.1795,0.1827956989247312,0.1590909090909091,0.23943661971830985
2021-01-01,2021-03-24,2000,1991,0.5055,0.49450000000000005,70,284,1637,9,1000,142,0.030716723549488054,0.1815,0.1935483870967742,0.18181818181818182,0.23943661971830985
2021-01-01,2021-03-25,2000,1991,0.5055,0.49450000000000005,67,290,1634,9,1000,142,0.030100334448160536,0.183,0.1935483870967742,0.18181818181818182,0.24647887323943662
2021-01-01,2021-03-26,2000,1991,0.5055,0.49450000000000005,65,295,1631,9,1000,142,0.029605263157894735,0.1845,0.1935483870967742,0.18181818181818182,0.24647887323943662
2021-01-01,2021-03-27,2000,1991,0.5055,0.49450000000000005,65,297,1629,9,1000,142,0.029411764705882353,0.1855,0.1935483870967742,0.20454545454545456,0.2535211267605634
2021-01-01,2021-03-28,2000,1991,0.5055,0.49450000000000005,64,302,1625,9,1000,142,0.028938906752411574,0.1875,0.1935483870967742,0.20454545454545456,0.2535211267605634
2021-01-01,2021-03-29,2000,1991,0.5055,0.49450000000000005,65,305,1621,9,1000,142,0.028662420382165606,0.1895,0.20430107526881722,0.20454545454545456,0.2535211267605634
2021-01-01,2021-03-30,2000,1991,0.5055,0.49450000000000005,65,310,1616,9,1000,142,0.02821316614420063,0.192,0.20430107526881722,0.20454545454545456,0.2535211267605634
2021-01-01,2021-03-31,2000,1991,0.5055,0.49450000000000005,68,314,1609,9,1000,142,0.02786377708978328,0.1955,0.20430107526881722,0.20454545454545456,0.2605633802816901
2021-01-01,2021-04-01,2000,1991,0.5055,0.49450000000000005,64,322,1605,9,1000,142,0.027190332326283987,0.1975,0.20430107526881722,0.20454545454545456,0.28169014084507044
2021-01-01,2021-04-02,2000,1990,0.5055,0.49450000000000005,65,324,1601,10,1200,196,0.029940119760479042,0.1995,0.20430107526881722,0.20454545454545456,0.28169014084507044
2021-01-01,2021-04-03,2000,1990,0.5055,0.49450000000000005,64,329,1597,10,1200,196,0.029498525073746312,0.2015,0.20430107526881722,0.20454545454545456,0.28169014084507044
2021-01-01,2021-04-04,2000,1990,0.5055,0.49450000000000005,69,330,1591,10,1200,196,0.029411764705882353,0.2045,0.20430107526881722,0.20454545454545456,0.28169014084507044
2021-01-01,2021-04-05,2000,1990,0.5055,0.49450000000000005,70,333,1587,10,1200,196,0.029154518950437316,0.2065,0.20430107526881722,0.20454545454545456,0.28169014084507044
2021-01-01,2021-04-06,2000,1990,0.5055,0.49450000000000005,70,337,1583,10,1200,196,0.02881844380403458,0.2085,0.21505376344086022,0.20454545454545456,0.2887323943661972
2021-01-01,2021-04-07,2000,1990,0.5055,0.49450000000000005,73,339,1578,10,1200,196,0.02865329512893983,0.211,0.21505376344086022,0.20454545454545456,0.2887323943661972
2021-01-01,2021-04-08,2000,1990,0.5055,0.49450000000000005,73,341,1576,10,1200,196,0.02849002849002849,0.212,0.21505376344086022,0.20454545454545456,0.29577464788732394
2021-01-01,2021-04-09,2000,1990,0.5055,0.49450000000000005,69,347,1574,10,1200,196,0.028011204481792718,0.213,0.21505376344086022,0.20454545454545456,0.29577464788732394
2021-01-01,2021-04-10,2000,1990,0.5055,0.49450000000000005,69,350,1571,10,1200,196,0.027777777777777776,0.2145,0.21505376344086022,0.20454545454545456,0.29577464788732394
2021-01-01,2021-04-11,2000,1990,0.5055,0.49450000000000005,67,354,1569,10,1200,196,0.027472527472527472,0.2155,0.22580645161290322,0.20454545454545456,0.29577464788732394
2021-01-01,2021-04-12,2000,1990,0.5055,0.49450000000000005,65,358,1567,10,1200,196,0.02717391304347826,0.2165,0.22580645161290322,0.20454545454545456,0.29577464788732394
2021-01-01,2021-04-13,2000,1990,0.5055,0.49450000000000005,64,362,1564,10,1200,196,0.026881720430107527,0.218,0.22580645161290322,0.20454545454545456,0.3028169014084507
2021-01-01,2021-04-14,2000,1989,0.5055,0.49450000000000005,64,366,1559,11,1200,196,0.029177718832891247,0.2205,0.25806451612903225,0.20454545454545456,0.3028169014084507
2021-01-01,2021-04-15,2000,1988,0.5055,0.49450000000000005,62,371,1555,12,1200,196,0.031331592689295036,0.2225,0.26881720430107525,0.22727272727272727,0.30985915492957744
2021-01-01,2021-04-16,2000,1988,0.5055,0.49450000000000005,61,373,1554,12,1200,196,0.03116883116883117,0.223,0.26881720430107525,0.22727272727272727,0.30985915492957744
2021-01-01,2021-04-17,2000,1988,0.5055,0.49450000000000005,61,375,1552,12,1400,250,0.031007751937984496,0.224,0.26881720430107525,0.22727272727272727,0.31690140845070425
2021-01-01,2021-04-18,2000,1987,0.5055,0.49450000000000005,62,376,1549,13,1400,250,0.033419023136246784,0.2255,0.26881720430107525,0.22727272727272727,0.323943661971831
2021-01-01,2021-04-19,2000,1987,0.5055,0.49450000000000005,59,380,1548,13,1400,250,0.03307888040712468,0.226,0.26881720430107525,0.22727272727272727,0.323943661971831
2021-01-01,2021-04-20,2000,1987,0.5055,0.49450000000000005,59,383,1545,13,1400,250,0.03282828282828283,0.2275,0.27956989247311825,0.22727272727272727,0.33098591549295775
2021-01-01,2021-04-21,2000,1987,0.5055,0.49450000000000005,60,385,1542,13,1400,250,0.032663316582914576,0.229,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-22,2000,1987,0.5055,0.49450000000000005,58,389,1540,13,1400,250,0.03233830845771144,0.23,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-23,2000,1987,0.5055,0.49450000000000005,54,395,1538,13,1400,250,0.031862745098039214,0.231,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-24,2000,1987,0.5055,0.49450000000000005,52,400,1535,13,1400,250,0.031476997578692496,0.2325,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-25,2000,1986,0.5055,0.49450000000000005,52,402,1532,14,1400,250,0.03365384615384615,0.234,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-26,2000,1986,0.5055,0.49450000000000005,52,404,1530,14,1400,250,0.03349282296650718,0.235,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-27,2000,1986,0.5055,0.49450000000000005,50,406,1530,14,1400,250,0.03333333333333333,0.235,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-28,2000,1986,0.5055,0.49450000000000005,47,409,1530,14,1400,250,0.03309692671394799,0.235,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-29,2000,1985,0.5055,0.49450000000000005,43,412,1530,15,1400,250,0.0351288056206089,0.235,0.27956989247311825,0.25,0.3380281690140845
2021-01-01,2021-04-30,2000,1985,0.5055,0.49450000000000005,41,415,1529,15,1400,250,0.03488372093023256,0.2355,0.2903225806451613,0.25,0.3380281690140845
2021-01-01,2021-05-01,2000,1985,0.5055,0.49450000000000005,39,418,1528,15,1400,250,0.03464203233256351,0.236,0.2903225806451613,0.25,0.3380281690140845
2021-01-01,2021-05-02,2000,1985,0.5055,0.49450000000000005,39,420,1526,15,1600,321,0.034482758620689655,0.237,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-03,2000,1985,0.5055,0.49450000000000005,36,423,1526,15,1600,321,0.03424657534246575,0.237,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-04,2000,1985,0.5055,0.49450000000000005,35,425,1525,15,1600,321,0.03409090909090909,0.2375,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-05,2000,1985,0.5055,0.49450000000000005,31,429,1525,15,1600,321,0.033783783783783786,0.2375,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-06,2000,1985,0.5055,0.49450000000000005,31,430,1524,15,1600,321,0.033707865168539325,0.238,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-07,2000,1985,0.5055,0.49450000000000005,27,435,1523,15,1600,321,0.03333333333333333,0.2385,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-08,2000,1985,0.5055,0.49450000000000005,26,437,1522,15,1600,321,0.033185840707964605,0.239,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-09,2000,1985,0.5055,0.49450000000000005,24,439,1522,15,1600,321,0.03303964757709251,0.239,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-10,2000,1985,0.5055,0.49450000000000005,23,440,1522,15,1600,321,0.03296703296703297,0.239,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-11,2000,1984,0.5055,0.49450000000000005,20,442,1522,16,1600,321,0.034934497816593885,0.239,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-12,2000,1984,0.5055,0.49450000000000005,19,445,1520,16,1600,321,0.03470715835140998,0.24,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-13,2000,1984,0.5055,0.49450000000000005,19,445,1520,16,1600,321,0.03470715835140998,0.24,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-14,2000,1984,0.5055,0.49450000000000005,20,446,1518,16,1600,321,0.03463203463203463,0.241,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-15,2000,1984,0.5055,0.49450000000000005,20,446,1518,16,1600,321,0.03463203463203463,0.241,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-16,2000,1984,0.5055,0.49450000000000005,23,446,1515,16,1600,321,0.03463203463203463,0.2425,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-17,2000,1984,0.5055,0.49450000000000005,19,450,1515,16,1800,398,0.034334763948497854,0.2425,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-18,2000,1983,0.5055,0.49450000000000005,18,450,1515,17,1800,398,0.03640256959314775,0.2425,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-19,2000,1983,0.5055,0.49450000000000005,16,452,1515,17,1800,398,0.03624733475479744,0.2425,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-20,2000,1983,0.5055,0.49450000000000005,15,454,1514,17,1800,398,0.036093418259023353,0.243,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-21,2000,1983,0.5055,0.49450000000000005,15,454,1514,17,1800,398,0.036093418259023353,0.243,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-22,2000,1983,0.5055,0.49450000000000005,14,455,1514,17,1800,398,0.036016949152542374,0.243,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-23,2000,1983,0.5055,0.49450000000000005,14,455,1514,17,1800,398,0.036016949152542374,0.243,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-24,2000,1983,0.5055,0.49450000000000005,14,457,1512,17,1800,398,0.035864978902953586,0.244,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-25,2000,1983,0.5055,0.49450000000000005,14,458,1511,17,1800,398,0.035789473684210524,0.2445,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-26,2000,1983,0.5055,0.49450000000000005,14,459,1510,17,1800,398,0.03571428571428571,0.245,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-27,2000,1983,0.5055,0.49450000000000005,15,459,1509,17,1800,398,0.03571428571428571,0.2455,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-28,2000,1983,0.5055,0.49450000000000005,15,459,1509,17,1800,398,0.03571428571428571,0.2455,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-29,2000,1983,0.5055,0.49450000000000005,14,461,1508,17,1800,398,0.03556485355648536,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-30,2000,1983,0.5055,0.49450000000000005,12,463,1508,17,1800,398,0.035416666666666666,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-05-31,2000,1983,0.5055,0.49450000000000005,11,464,1508,17,1800,398,0.035343035343035345,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-01,2000,1983,0.5055,0.49450000000000005,11,464,1508,17,1987,479,0.035343035343035345,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-02,2000,1983,0.5055,0.49450000000000005,11,464,1508,17,1987,479,0.035343035343035345,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-03,2000,1983,0.5055,0.49450000000000005,11,464,1508,17,1987,479,0.035343035343035345,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-04,2000,1983,0.5055,0.49450000000000005,10,465,1508,17,1987,479,0.035269709543568464,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-05,2000,1983,0.5055,0.49450000000000005,10,465,1508,17,1987,479,0.035269709543568464,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-06,2000,1983,0.5055,0.49450000000000005,8,467,1508,17,1987,479,0.03512396694214876,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-07,2000,1983,0.5055,0.49450000000000005,7,468,1508,17,1987,479,0.03505154639175258,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-08,2000,1983,0.5055,0.49450000000000005,7,468,1508,17,1987,479,0.03505154639175258,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-09,2000,1983,0.5055,0.49450000000000005,6,469,1508,17,1987,479,0.03497942386831276,0.246,0.2903225806451613,0.25,0.34507042253521125
2021-01-01,2021-06-10,2000,1983,0.5055,0.49450000000000005,6,469,1508,17,1987,479,0.03497942386831276,0.246,0.2903225806451613,0.25,0.34507042253521125
